model,method,n_samples,mean_topk_recall,mean_jaccard,mean_signed_cosine,mean_evidence_mass,mean_polarity_agreement,mean_llm_match_score,prediction_llm_agreement_rate,rank
transformer,integrated_gradients_steps100,30,0.542186,0.529726,0.629033,0.88346,0.894444,0.611974,0.966667,1
transformer,occlusion,30,0.525584,0.500635,0.604297,0.943693,0.927778,0.606527,0.966667,2
cnn,ngram_occlusion,30,0.500519,0.481353,0.71297,0.858703,0.95,0.606048,0.966667,3
transformer,integrated_gradients_steps50,30,0.542186,0.529726,0.569474,0.880862,0.85,0.604267,0.966667,4
cnn,filter_activation,30,0.487504,0.464726,0.633612,0.849408,0.888889,0.579521,0.966667,5
cnn,integrated_gradients_steps100,30,0.502504,0.475996,0.588124,0.889325,0.872222,0.575305,0.966667,6
cnn,integrated_gradients_steps50,30,0.502504,0.475996,0.58783,0.889142,0.872222,0.575204,0.966667,7
cnn,unigram_occlusion,30,0.50417,0.476273,0.546684,0.905259,0.888889,0.569126,0.966667,8
fnn,integrated_gradients_steps50,30,0.476115,0.441736,0.587396,0.852776,0.922222,0.55184,0.933333,9
fnn,integrated_gradients_steps100,30,0.476115,0.441736,0.58735,0.852127,0.911111,0.551731,0.933333,10
fnn,occlusion,30,0.47614,0.439802,0.559038,0.867953,0.905556,0.547271,0.933333,11
fnn,lime,30,0.46667,0.43499,0.584339,0.848927,0.866667,0.545506,0.933333,12
